Cargo_ID,Cargo_Type,Source,Destination,Tons,Revenue
42,Cement,Jharkhand,Bangalore,3262,239363
43,Container,Jaipur,Ahmedabad,2694,393807
44,Limestone,Jharkhand,Lucknow,3307,333744
45,Cement,Ahmedabad,Chennai,4589,350221
46,Coal,Mumbai,Chennai,3533,355059
47,Steel,Mumbai,Jaipur,2325,304854
48,Container,Delhi,Surat,1659,231800
49,Cement,Bangalore,Jharkhand,2058,167712
50,Fertilizer,Surat,Jharkhand,4680,523774
51,Fertilizer,Jharkhand,Lucknow,4939,515083
52,Container,Chennai,Lucknow,4148,632379
53,Container,Lucknow,Jaipur,1246,107019
54,Fertilizer,Mumbai,Kolkata,887,75600
55,Coal,Jharkhand,Kolkata,1735,95007
56,Cement,Lucknow,Jharkhand,1594,115493
57,Container,Mumbai,Surat,1902,276199
58,Cement,Kolkata,Mumbai,1668,163050
59,Fertilizer,Mumbai,Lucknow,3299,374462
60,Limestone,Mumbai,Chennai,1571,146513
61,Steel,Ahmedabad,Bangalore,4809,646823
62,Steel,Chennai,Jaipur,3029,389719
63,Fertilizer,Chennai,Kolkata,3754,408018
64,Fertilizer,Bangalore,Surat,2956,372934
65,Steel,Ahmedabad,Kolkata,580,109396
66,Coal,Surat,Lucknow,4918,465964
67,Coal,Bangalore,Chennai,1441,109302
68,Cement,Kolkata,Jaipur,1047,113616
69,Steel,Mumbai,Surat,1406,226046
70,Cement,Chennai,Jharkhand,1517,155913
71,Limestone,Jharkhand,Lucknow,3805,326586
72,Container,Lucknow,Mumbai,2089,373264
73,Steel,Surat,Chennai,1491,211818
74,Fertilizer,Bangalore,Delhi,2787,275580
75,Coal,Ahmedabad,Mumbai,724,58460
76,Coal,Jharkhand,Ahmedabad,2519,234134
77,Limestone,Kolkata,Surat,3194,330899
78,Limestone,Lucknow,Jharkhand,2134,203804
79,Coal,Mumbai,Kolkata,3438,301342
80,Cement,Chennai,Lucknow,2971,223268
81,Limestone,Mumbai,Surat,3132,237117
82,Steel,Surat,Chennai,3006,427751
83,Limestone,Jaipur,Mumbai,780,89883
84,Steel,Mumbai,Chennai,2853,409234
85,Limestone,Mumbai,Ahmedabad,2941,263308
86,Fertilizer,Jharkhand,Delhi,2331,267948
87,Container,Kolkata,Bangalore,1052,181213
88,Cement,Jharkhand,Surat,2819,176784
89,Limestone,Mumbai,Delhi,2117,249650
90,Limestone,Delhi,Lucknow,4593,423882
91,Container,Kolkata,Ahmedabad,652,75909
92,Coal,Surat,Mumbai,2403,145199
93,Cement,Jaipur,Kolkata,4321,290600
94,Fertilizer,Kolkata,Lucknow,4070,425650
95,Coal,Jharkhand,Delhi,2654,235005
96,Steel,Delhi,Surat,1427,217121
97,Fertilizer,Chennai,Surat,1555,215810
98,Steel,Ahmedabad,Bangalore,4076,552522
99,Limestone,Kolkata,Jaipur,2780,276000
100,Coal,Jharkhand,Lucknow,798,45728
101,Container,Chennai,Ahmedabad,4676,768239
102,Coal,Lucknow,Delhi,4814,446697
103,Cement,Mumbai,Lucknow,4708,326412
104,Cement,Bangalore,Jharkhand,3710,301910
105,Limestone,Surat,Lucknow,2034,147227
106,Container,Delhi,Ahmedabad,4626,740115
107,Coal,Jaipur,Jharkhand,3477,267509
108,Container,Jharkhand,Lucknow,4719,758102
109,Fertilizer,Delhi,Ahmedabad,4803,568581
110,Cement,Lucknow,Jaipur,782,92142
111,Coal,Jharkhand,Surat,3935,321446
112,Coal,Delhi,Surat,2755,200894
113,Cement,Kolkata,Ahmedabad,4530,312629
114,Limestone,Surat,Kolkata,3277,327872
115,Fertilizer,Surat,Delhi,732,105083
116,Fertilizer,Surat,Jharkhand,2976,389390
117,Coal,Kolkata,Jharkhand,2762,228946
118,Container,Surat,Jaipur,853,163622
119,Cement,Mumbai,Surat,2506,225594
120,Coal,Delhi,Ahmedabad,1310,150220
121,Limestone,Surat,Kolkata,1034,134603
122,Cement,Surat,Bangalore,2551,243361
123,Container,Ahmedabad,Mumbai,4934,795503
124,Fertilizer,Surat,Ahmedabad,4785,558650
125,Fertilizer,Jaipur,Surat,654,44043
126,Coal,Chennai,Jaipur,2578,237796
127,Container,Jharkhand,Lucknow,1633,257207
128,Container,Jaipur,Mumbai,2571,401505
129,Fertilizer,Mumbai,Surat,3729,398343
130,Container,Bangalore,Delhi,3274,504549
131,Fertilizer,Jharkhand,Lucknow,4179,481468
132,Coal,Delhi,Lucknow,2045,194547
133,Cement,Lucknow,Mumbai,3459,312704
134,Cement,Lucknow,Ahmedabad,3805,291338
135,Fertilizer,Jharkhand,Lucknow,3584,347971
136,Coal,Chennai,Kolkata,3662,345202
137,Container,Kolkata,Ahmedabad,870,164408
138,Container,Jaipur,Ahmedabad,2619,390011
139,Container,Jaipur,Lucknow,4078,636331
140,Steel,Surat,Delhi,2459,340580
141,Steel,Surat,Ahmedabad,739,81387
142,Limestone,Jaipur,Jharkhand,4493,415618
143,Limestone,Surat,Jharkhand,660,53572
144,Fertilizer,Bangalore,Delhi,4523,558673
145,Limestone,Jaipur,Mumbai,3415,335671
146,Container,Lucknow,Jharkhand,3818,562006
147,Limestone,Mumbai,Jharkhand,2902,322635
148,Cement,Surat,Mumbai,4329,337674
149,Cement,Delhi,Lucknow,3851,274192
150,Steel,Bangalore,Jharkhand,3072,450172
151,Cement,Chennai,Jaipur,3915,284620
152,Limestone,Chennai,Delhi,4983,457075
153,Cement,Jaipur,Lucknow,3444,276708
154,Cement,Delhi,Lucknow,1309,103370
155,Container,Mumbai,Bangalore,4700,799121
156,Container,Jaipur,Lucknow,888,161427
157,Fertilizer,Mumbai,Bangalore,2200,224800
158,Steel,Jharkhand,Bangalore,2252,265078
159,Coal,Mumbai,Jharkhand,4106,380835
160,Container,Delhi,Surat,1491,199393
161,Fertilizer,Jaipur,Jharkhand,3849,387870
162,Fertilizer,Delhi,Jaipur,4958,546930
163,Container,Lucknow,Ahmedabad,1857,229599
164,Container,Lucknow,Mumbai,2955,489935
165,Steel,Ahmedabad,Chennai,4826,683813
166,Steel,Bangalore,Jharkhand,4080,613190
167,Container,Chennai,Kolkata,4266,663868
168,Limestone,Jharkhand,Lucknow,4310,413662
169,Coal,Chennai,Surat,1233,119917
170,Coal,Jharkhand,Ahmedabad,4360,347346
171,Coal,Ahmedabad,Mumbai,1813,112984
172,Container,Jharkhand,Lucknow,3791,613814
173,Container,Jharkhand,Kolkata,3578,554485
174,Limestone,Delhi,Bangalore,3032,270915
175,Cement,Bangalore,Kolkata,2567,225698
176,Steel,Jaipur,Mumbai,2888,398917
177,Cement,Jaipur,Chennai,3831,280777
178,Container,Bangalore,Jharkhand,4073,696315
179,Steel,Bangalore,Delhi,1347,190884
180,Limestone,Mumbai,Surat,2438,175277
181,Coal,Jharkhand,Lucknow,552,40354
182,Container,Mumbai,Bangalore,2869,457718
183,Cement,Kolkata,Mumbai,4439,348419
184,Steel,Delhi,Kolkata,1482,212567
185,Container,Delhi,Jaipur,1095,190025
186,Limestone,Chennai,Jaipur,4266,352086
187,Cement,Jharkhand,Delhi,3746,283581
188,Fertilizer,Mumbai,Surat,2214,205068
189,Limestone,Ahmedabad,Jharkhand,4190,377142
190,Container,Kolkata,Surat,4233,683996
191,Cement,Jharkhand,Surat,3418,219070
192,Steel,Ahmedabad,Surat,3779,513236
193,Limestone,Jaipur,Lucknow,4411,437313
194,Container,Delhi,Surat,4948,809204
195,Steel,Bangalore,Lucknow,2492,317820
196,Steel,Kolkata,Mumbai,2656,373740
197,Fertilizer,Chennai,Surat,1077,89760
198,Steel,Bangalore,Kolkata,1941,289472
199,Limestone,Lucknow,Jaipur,1552,126291
200,Steel,Bangalore,Kolkata,2065,283607
201,Fertilizer,Bangalore,Surat,4049,421861
202,Container,Jaipur,Ahmedabad,2963,488086
203,Limestone,Bangalore,Chennai,3815,395643
204,Steel,Surat,Mumbai,979,130535
205,Steel,Ahmedabad,Jharkhand,3394,431345
206,Coal,Jaipur,Mumbai,909,29279
207,Fertilizer,Kolkata,Surat,3280,319026
208,Cement,Bangalore,Kolkata,1246,162197
209,Coal,Delhi,Surat,4440,365019
210,Coal,Kolkata,Surat,1028,103745
211,Container,Jharkhand,Kolkata,2285,363412
212,Limestone,Delhi,Ahmedabad,2099,173224
213,Steel,Ahmedabad,Surat,4461,591893
214,Cement,Ahmedabad,Chennai,1511,84559
215,Fertilizer,Jaipur,Ahmedabad,1520,122623
216,Steel,Mumbai,Jaipur,4300,611073
217,Cement,Kolkata,Ahmedabad,4301,339983
218,Container,Lucknow,Delhi,3876,628856
219,Container,Delhi,Kolkata,2974,450806
220,Container,Bangalore,Chennai,3472,549464
221,Fertilizer,Jharkhand,Kolkata,2510,273389
222,Container,Delhi,Lucknow,1035,170559
223,Limestone,Bangalore,Delhi,1548,100711
224,Coal,Ahmedabad,Kolkata,508,57243
225,Container,Jharkhand,Kolkata,1997,338148
226,Coal,Delhi,Ahmedabad,2138,215394
227,Fertilizer,Mumbai,Bangalore,4031,445311
228,Steel,Jaipur,Jharkhand,2897,409025
229,Cement,Chennai,Delhi,2807,252553
230,Coal,Delhi,Ahmedabad,879,87850
231,Coal,Ahmedabad,Mumbai,1873,164666
232,Limestone,Bangalore,Surat,3443,364410
233,Container,Surat,Ahmedabad,4490,715946
234,Steel,Jaipur,Mumbai,559,99755
235,Limestone,Mumbai,Bangalore,4386,395044
236,Cement,Lucknow,Bangalore,3794,225686
237,Coal,Jaipur,Lucknow,4923,480237
238,Limestone,Jaipur,Mumbai,3030,319499
239,Coal,Mumbai,Ahmedabad,2720,276662
240,Limestone,Chennai,Bangalore,545,62648
241,Steel,Ahmedabad,Bangalore,4355,586049
242,Steel,Lucknow,Jharkhand,3668,532593
243,Cement,Jaipur,Mumbai,2105,154069
244,Cement,Mumbai,Jharkhand,4208,349151
245,Container,Ahmedabad,Surat,2133,326139
246,Steel,Surat,Chennai,1778,239464
247,Coal,Lucknow,Jaipur,2444,141619
248,Cement,Chennai,Kolkata,2718,195258
249,Steel,Mumbai,Chennai,4431,605602
250,Limestone,Delhi,Surat,3737,392158
251,Limestone,Jharkhand,Lucknow,3461,354723
252,Container,Lucknow,Jaipur,3313,534930
253,Fertilizer,Delhi,Bangalore,2093,252908
254,Steel,Ahmedabad,Kolkata,3314,473337
255,Container,Jharkhand,Surat,3018,520864
256,Limestone,Kolkata,Surat,3984,381625
257,Limestone,Delhi,Bangalore,2341,176189
258,Steel,Chennai,Kolkata,4545,684131
259,Coal,Kolkata,Delhi,4719,437649
260,Limestone,Kolkata,Mumbai,2384,225146
261,Fertilizer,Bangalore,Kolkata,745,81720
262,Cement,Jaipur,Lucknow,4660,426674
263,Steel,Jharkhand,Bangalore,1112,151860
264,Fertilizer,Chennai,Kolkata,4701,483250
265,Limestone,Ahmedabad,Bangalore,1785,159859
266,Limestone,Jharkhand,Lucknow,1675,131253
267,Container,Surat,Chennai,4893,753826
268,Coal,Lucknow,Ahmedabad,934,81843
269,Fertilizer,Delhi,Lucknow,3677,425918
270,Cement,Jharkhand,Jaipur,3722,244285
271,Coal,Surat,Lucknow,1450,155649
272,Coal,Chennai,Kolkata,2050,178389
273,Fertilizer,Chennai,Lucknow,2821,284598
274,Fertilizer,Chennai,Mumbai,3104,325101
275,Limestone,Delhi,Lucknow,4247,384784
276,Coal,Delhi,Jharkhand,1475,121169
277,Steel,Jharkhand,Surat,2600,377096
278,Limestone,Jharkhand,Delhi,3997,399340
279,Limestone,Jaipur,Mumbai,2313,203287
280,Container,Jaipur,Mumbai,763,64366
281,Fertilizer,Bangalore,Kolkata,3187,347773
282,Limestone,Bangalore,Kolkata,2711,260434
283,Container,Surat,Delhi,1646,271342
284,Coal,Delhi,Kolkata,752,60414
285,Steel,Chennai,Kolkata,1401,182396
286,Container,Bangalore,Surat,4839,751235
287,Coal,Surat,Jharkhand,861,80816
288,Limestone,Surat,Jharkhand,3026,330409
289,Steel,Bangalore,Chennai,2801,406341
290,Container,Surat,Jharkhand,2876,426749
291,Limestone,Chennai,Jaipur,3747,341137
292,Coal,Mumbai,Jharkhand,1927,165052
293,Cement,Ahmedabad,Surat,1001,107780
294,Cement,Kolkata,Delhi,1314,77832
295,Cement,Jharkhand,Delhi,3611,286385
296,Coal,Ahmedabad,Bangalore,1358,103281
297,Coal,Jharkhand,Lucknow,3613,351192
298,Steel,Jharkhand,Delhi,1417,178202
299,Fertilizer,Mumbai,Surat,2153,266922
300,Coal,Jaipur,Lucknow,3260,308919
301,Steel,Jharkhand,Bangalore,909,142022
302,Steel,Jaipur,Delhi,1875,229515
303,Container,Mumbai,Bangalore,4981,827301
304,Coal,Delhi,Ahmedabad,1193,151374
305,Cement,Mumbai,Bangalore,2358,200456
306,Fertilizer,Mumbai,Bangalore,1539,198991
307,Steel,Jharkhand,Jaipur,3314,422277
308,Coal,Ahmedabad,Jharkhand,4521,342320
309,Cement,Bangalore,Chennai,2103,191996
310,Limestone,Jharkhand,Delhi,3470,302502
311,Coal,Jaipur,Jharkhand,2023,183395
312,Container,Surat,Mumbai,3973,644843
313,Steel,Mumbai,Jharkhand,2937,408113
314,Steel,Surat,Mumbai,4232,632246
315,Cement,Kolkata,Surat,1912,183188
316,Coal,Kolkata,Bangalore,675,45797
317,Fertilizer,Mumbai,Jaipur,3233,373297
318,Steel,Chennai,Bangalore,852,110244
319,Coal,Jharkhand,Delhi,3022,219442
320,Cement,Lucknow,Jharkhand,3646,262533
321,Container,Mumbai,Chennai,4321,696328
322,Fertilizer,Jharkhand,Delhi,3230,315425
323,Container,Surat,Ahmedabad,1303,164565
324,Limestone,Bangalore,Jaipur,2048,202226
325,Coal,Bangalore,Chennai,3265,338276
326,Coal,Delhi,Chennai,2613,242358
327,Limestone,Surat,Jharkhand,2301,265883
328,Fertilizer,Mumbai,Ahmedabad,1255,159294
329,Container,Bangalore,Kolkata,1763,299113
330,Cement,Surat,Jaipur,3480,312610
331,Container,Bangalore,Jaipur,2843,469216
332,Limestone,Bangalore,Surat,3036,290295
333,Cement,Bangalore,Jaipur,1838,149512
334,Cement,Ahmedabad,Jharkhand,3659,240512
335,Container,Mumbai,Ahmedabad,3377,552798
336,Steel,Surat,Bangalore,692,19838
337,Coal,Jharkhand,Surat,1891,199738
338,Container,Jharkhand,Delhi,2886,440497
339,Container,Jaipur,Kolkata,1500,214945
340,Fertilizer,Surat,Mumbai,3285,354985
341,Coal,Delhi,Bangalore,1994,182324
342,Container,Surat,Mumbai,1997,302162
343,Steel,Lucknow,Surat,2594,319529
344,Limestone,Mumbai,Bangalore,3718,306175
345,Steel,Mumbai,Jaipur,3830,520545
346,Limestone,Mumbai,Bangalore,2587,268582
347,Container,Lucknow,Mumbai,2717,441047
348,Container,Chennai,Surat,4227,627529
349,Fertilizer,Jharkhand,Chennai,4591,448070
350,Container,Surat,Mumbai,2142,317392
351,Coal,Chennai,Surat,1816,158790
352,Steel,Chennai,Jaipur,4126,562188
353,Container,Chennai,Lucknow,1706,270321
354,Fertilizer,Jharkhand,Surat,2808,276597
355,Steel,Mumbai,Kolkata,4390,617594
356,Coal,Surat,Delhi,3022,268881
357,Steel,Bangalore,Kolkata,1114,154827
358,Steel,Jaipur,Surat,4407,584648
359,Fertilizer,Mumbai,Bangalore,4676,485933
360,Steel,Lucknow,Jaipur,895,126949
361,Steel,Chennai,Bangalore,1424,174737
362,Steel,Surat,Delhi,4882,701182
363,Coal,Lucknow,Mumbai,1292,117573
364,Steel,Jaipur,Delhi,1670,230000
365,Steel,Ahmedabad,Kolkata,4908,683850
366,Steel,Kolkata,Mumbai,688,98633
367,Container,Bangalore,Chennai,1258,138084
368,Cement,Surat,Ahmedabad,601,64854
369,Steel,Chennai,Kolkata,4572,662684
370,Steel,Kolkata,Jaipur,4021,617223
371,Limestone,Jharkhand,Bangalore,1586,139381
372,Container,Surat,Ahmedabad,3845,650970
373,Limestone,Ahmedabad,Bangalore,3532,323704
374,Coal,Bangalore,Chennai,2926,231162
375,Limestone,Lucknow,Ahmedabad,4024,356112
376,Container,Chennai,Surat,1112,189567
377,Cement,Lucknow,Mumbai,2149,170061
378,Limestone,Kolkata,Surat,4103,389743
379,Cement,Delhi,Kolkata,1181,93243
380,Limestone,Lucknow,Jharkhand,3407,304549
381,Steel,Jaipur,Jharkhand,2570,317575
382,Cement,Jharkhand,Surat,3337,297033
383,Coal,Chennai,Jaipur,2937,285497
384,Fertilizer,Mumbai,Jaipur,2062,234441
385,Fertilizer,Jharkhand,Delhi,2642,258032
386,Coal,Bangalore,Jharkhand,2280,232035
387,Limestone,Lucknow,Jaipur,615,43511
388,Cement,Chennai,Mumbai,4492,355579
389,Coal,Lucknow,Mumbai,1263,147250
390,Container,Delhi,Lucknow,1157,130702
391,Fertilizer,Chennai,Bangalore,1963,188411
392,Fertilizer,Bangalore,Kolkata,3251,373980
393,Limestone,Delhi,Bangalore,3911,318145
394,Limestone,Jharkhand,Surat,1067,124902
395,Steel,Bangalore,Chennai,2518,382213
396,Steel,Delhi,Kolkata,4868,670858
397,Cement,Mumbai,Chennai,4495,358001
398,Fertilizer,Delhi,Lucknow,4375,458177
399,Cement,Delhi,Kolkata,951,68084
400,Coal,Surat,Ahmedabad,2239,228822
401,Fertilizer,Surat,Bangalore,3833,435072
402,Cement,Mumbai,Jharkhand,1023,47084
403,Steel,Surat,Ahmedabad,3246,466500
404,Limestone,Ahmedabad,Jharkhand,674,25234
405,Cement,Jharkhand,Bangalore,1962,138105
406,Coal,Delhi,Jaipur,3613,325845
407,Steel,Chennai,Lucknow,4094,540848
408,Limestone,Chennai,Ahmedabad,3858,369446
409,Container,Mumbai,Bangalore,962,147951
410,Steel,Lucknow,Delhi,3040,430163
411,Limestone,Jharkhand,Mumbai,3740,356656
412,Container,Jaipur,Surat,2607,386016
413,Limestone,Delhi,Ahmedabad,1003,105050
414,Coal,Jaipur,Lucknow,1091,125559
415,Cement,Lucknow,Ahmedabad,1411,87844
416,Container,Jharkhand,Surat,961,91035
417,Fertilizer,Ahmedabad,Surat,4168,428661
418,Fertilizer,Jaipur,Surat,553,63630
419,Steel,Bangalore,Chennai,2037,299013
420,Limestone,Mumbai,Chennai,4898,429357
421,Limestone,Mumbai,Jaipur,1108,62546
422,Steel,Bangalore,Surat,4913,709399
423,Limestone,Mumbai,Lucknow,502,78944
424,Cement,Lucknow,Jharkhand,1773,74247
425,Coal,Kolkata,Mumbai,2894,262523
426,Steel,Jharkhand,Kolkata,3276,445568
427,Fertilizer,Bangalore,Jharkhand,3957,505754
428,Container,Surat,Mumbai,2016,296306
429,Coal,Jaipur,Surat,3449,296660
430,Container,Delhi,Kolkata,2921,459484
431,Container,Jharkhand,Ahmedabad,3023,409465
432,Container,Jharkhand,Delhi,856,120903
433,Cement,Delhi,Ahmedabad,3636,294576
434,Fertilizer,Mumbai,Ahmedabad,4481,504911
435,Fertilizer,Lucknow,Jharkhand,3535,362837
436,Fertilizer,Jaipur,Bangalore,1754,153744
437,Container,Mumbai,Chennai,2487,371994
438,Coal,Chennai,Jaipur,4218,392970
439,Steel,Mumbai,Jaipur,2227,346967
440,Coal,Surat,Chennai,2878,223638
441,Coal,Jharkhand,Ahmedabad,4569,398146
442,Steel,Delhi,Chennai,979,128272
443,Container,Bangalore,Jharkhand,3649,590833
444,Fertilizer,Mumbai,Surat,3201,365017
445,Fertilizer,Mumbai,Bangalore,2688,247778
446,Container,Lucknow,Mumbai,2100,338320
447,Container,Jaipur,Ahmedabad,4543,724389
448,Coal,Surat,Lucknow,1729,180184
449,Limestone,Chennai,Surat,4299,421220
450,Limestone,Kolkata,Surat,528,32289
451,Limestone,Delhi,Jharkhand,4926,476491
452,Coal,Chennai,Ahmedabad,3050,240544
453,Limestone,Mumbai,Delhi,745,113015
454,Coal,Surat,Jharkhand,4846,402207
455,Fertilizer,Kolkata,Jharkhand,4721,495189
456,Steel,Ahmedabad,Surat,3224,417119
457,Container,Jaipur,Chennai,743,111701
458,Coal,Jharkhand,Lucknow,4476,355902
459,Container,Ahmedabad,Mumbai,519,58088
460,Coal,Mumbai,Lucknow,1884,167698
461,Cement,Mumbai,Chennai,4672,326044
462,Coal,Mumbai,Surat,3105,334475
463,Fertilizer,Chennai,Surat,4579,493230
464,Coal,Chennai,Delhi,4448,406185
465,Cement,Jharkhand,Surat,4165,283307
466,Fertilizer,Bangalore,Jaipur,4234,462867
467,Limestone,Chennai,Lucknow,4173,413686
468,Steel,Mumbai,Ahmedabad,1671,283820
469,Cement,Mumbai,Jaipur,2744,165766
470,Container,Bangalore,Kolkata,1895,282479
471,Cement,Surat,Lucknow,3025,157038
472,Fertilizer,Jaipur,Mumbai,4173,483868
473,Limestone,Surat,Jharkhand,3507,306534
474,Fertilizer,Bangalore,Mumbai,655,25520
475,Limestone,Surat,Lucknow,3330,330225
476,Cement,Delhi,Jaipur,4937,386364
477,Limestone,Surat,Ahmedabad,4419,444847
478,Limestone,Mumbai,Ahmedabad,3563,298701
479,Steel,Lucknow,Mumbai,2537,330991
480,Steel,Bangalore,Surat,4460,619302
481,Container,Chennai,Delhi,736,146210
482,Container,Delhi,Bangalore,2400,353115
483,Steel,Jharkhand,Delhi,3541,449521
484,Fertilizer,Kolkata,Surat,3627,401671
485,Cement,Jharkhand,Kolkata,1951,115196
486,Container,Bangalore,Jharkhand,4300,741416
487,Container,Jharkhand,Surat,3428,609036
488,Steel,Jharkhand,Ahmedabad,3525,457259
489,Limestone,Ahmedabad,Surat,2352,219649
490,Coal,Lucknow,Jharkhand,2661,230545
491,Coal,Jaipur,Kolkata,4860,458029
492,Cement,Ahmedabad,Chennai,4568,351303
493,Steel,Kolkata,Jaipur,4516,667148
494,Fertilizer,Surat,Ahmedabad,2828,303248
495,Container,Surat,Ahmedabad,866,86514
496,Fertilizer,Chennai,Lucknow,646,83238
497,Limestone,Kolkata,Mumbai,1873,195588
498,Cement,Jaipur,Surat,1823,150229
499,Steel,Mumbai,Lucknow,537,32962
500,Coal,Lucknow,Mumbai,2792,276464
501,Cement,Surat,Ahmedabad,1125,103241
502,Steel,Surat,Delhi,1724,226223
503,Fertilizer,Chennai,Kolkata,2558,293313
504,Cement,Mumbai,Chennai,2167,152945
505,Coal,Jharkhand,Surat,2586,244519
506,Limestone,Delhi,Surat,2895,254134
507,Cement,Lucknow,Mumbai,2005,174788
508,Steel,Delhi,Jaipur,3470,458438
509,Coal,Ahmedabad,Mumbai,3897,320473
510,Coal,Lucknow,Mumbai,2214,182062
511,Limestone,Kolkata,Surat,3747,320736
512,Cement,Jaipur,Surat,4640,384399
513,Container,Surat,Ahmedabad,4621,711418
514,Container,Bangalore,Jharkhand,601,109206
515,Fertilizer,Bangalore,Kolkata,4237,482906
516,Steel,Ahmedabad,Surat,2628,362771
517,Container,Bangalore,Surat,3152,468659
518,Container,Mumbai,Jharkhand,728,100944
519,Coal,Mumbai,Kolkata,3635,333259
520,Cement,Mumbai,Jharkhand,3747,330379
521,Limestone,Lucknow,Bangalore,3520,337403
522,Container,Chennai,Jaipur,3030,469853
523,Fertilizer,Mumbai,Ahmedabad,4513,489417
524,Cement,Bangalore,Surat,2297,211965
525,Steel,Jaipur,Jharkhand,1009,165033
526,Limestone,Jaipur,Jharkhand,3601,285716
527,Cement,Kolkata,Jaipur,3883,300253
528,Limestone,Mumbai,Surat,4216,344606
529,Coal,Mumbai,Delhi,4652,447190
530,Cement,Bangalore,Surat,1007,101619
531,Steel,Jaipur,Jharkhand,1692,268780
532,Coal,Surat,Kolkata,1133,134318
533,Limestone,Chennai,Lucknow,4336,433837
534,Steel,Delhi,Lucknow,2847,428802
535,Container,Delhi,Lucknow,1477,238922
536,Coal,Lucknow,Mumbai,1421,108063
537,Limestone,Chennai,Surat,3591,280978
538,Coal,Jharkhand,Mumbai,3136,253221
539,Cement,Chennai,Jharkhand,3146,222571
540,Fertilizer,Surat,Kolkata,2170,273905
541,Cement,Chennai,Ahmedabad,2101,166890
542,Container,Mumbai,Jaipur,3196,518217
543,Steel,Jaipur,Surat,3247,440218
544,Coal,Jaipur,Lucknow,2051,172856
545,Container,Delhi,Mumbai,4473,712308
546,Coal,Jharkhand,Mumbai,2745,240743
547,Container,Lucknow,Mumbai,1531,238152
548,Cement,Mumbai,Lucknow,2145,128208
549,Container,Delhi,Ahmedabad,3795,635649
550,Limestone,Lucknow,Mumbai,781,52156
551,Limestone,Surat,Jharkhand,3722,388320
552,Container,Bangalore,Delhi,1814,310017
553,Steel,Bangalore,Chennai,4677,670246
554,Coal,Delhi,Jharkhand,4529,399302
555,Limestone,Delhi,Surat,1513,83393
556,Cement,Chennai,Bangalore,3743,291027
557,Cement,Surat,Ahmedabad,3483,255848
558,Coal,Kolkata,Jaipur,4391,385190
559,Coal,Kolkata,Bangalore,1555,136629
560,Coal,Lucknow,Mumbai,3033,287579
561,Coal,Mumbai,Bangalore,2255,170043
562,Coal,Delhi,Chennai,3836,353957
563,Container,Jharkhand,Chennai,2073,306227
564,Cement,Delhi,Ahmedabad,725,17194
565,Steel,Mumbai,Kolkata,3454,450291
566,Cement,Surat,Chennai,3590,282606
567,Limestone,Bangalore,Delhi,2229,206480
568,Fertilizer,Chennai,Ahmedabad,1767,243778
569,Cement,Jaipur,Mumbai,3190,310577
570,Container,Kolkata,Delhi,4110,609180
571,Steel,Kolkata,Surat,2724,342894
572,Coal,Kolkata,Jaipur,534,52302
573,Cement,Jaipur,Surat,4769,383979
574,Steel,Jaipur,Bangalore,4125,568193
575,Fertilizer,Jharkhand,Mumbai,988,112765
576,Fertilizer,Lucknow,Jaipur,4973,490150
577,Fertilizer,Surat,Jharkhand,2475,274015
578,Steel,Lucknow,Mumbai,3519,480794
579,Steel,Mumbai,Surat,1144,189374
580,Coal,Jharkhand,Surat,3536,356793
581,Limestone,Jharkhand,Lucknow,3866,355341
