vibration_rms,temperature,sound_level,maintenance_days,wheel_health,bearing_health,failure
0.488,61.2,75.9,125,50,58,0
0.23,37.6,44.5,78,84,85,0
0.224,58.8,55.9,72,76,72,0
0.301,57.3,48.7,73,78,70,0
0.357,36.2,58.2,87,69,80,0
0.465,72.2,71.8,95,55,53,0
0.255,46.5,45.9,70,82,79,0
0.446,72.3,83.7,97,48,54,1
0.266,57.2,50.7,49,80,73,0
0.512,75.5,83.8,133,43,47,1
0.668,70.7,71.3,141,45,44,1
0.665,70.4,76.8,110,43,46,1
0.393,38.8,55.0,6,74,82,0
0.233,54.6,57.4,34,77,77,0
0.664,62.0,77.0,167,40,48,1
0.699,76.3,72.3,157,42,38,1
0.528,75.4,77.0,103,49,48,1
0.346,37.6,52.0,25,77,83,0
0.249,48.3,43.4,12,87,81,0
0.268,38.6,59.9,30,74,85,0
0.222,48.7,65.0,30,73,81,0
0.243,36.7,51.9,7,82,89,0
0.491,65.3,80.0,118,47,55,1
0.59,62.9,71.9,150,47,51,1
0.33,45.6,60.5,8,73,80,0
0.479,68.7,78.4,155,47,52,1
0.406,62.1,79.4,92,52,62,0
0.493,73.2,82.3,112,46,51,1
0.64,63.3,84.4,192,34,46,1
0.35,56.1,43.8,10,83,72,0
0.295,37.4,63.4,1,73,87,0
0.695,68.8,78.2,94,42,46,1
0.454,75.5,82.5,133,46,50,1
0.269,37.2,63.8,61,70,85,0
0.279,56.8,62.4,33,72,74,0
0.39,53.3,67.6,76,62,69,0
0.493,75.8,83.2,135,44,48,1
0.262,50.6,45.9,83,81,75,0
0.326,53.3,64.6,14,70,75,0
0.608,76.9,74.0,187,43,40,1
0.217,40.6,43.5,57,86,85,0
0.582,74.4,70.2,102,51,47,1
0.718,98.6,98.5,261,18,18,1
0.235,38.1,45.5,8,87,88,0
0.355,37.2,55.6,49,73,82,0
0.386,46.0,48.5,15,78,77,0
0.282,47.5,47.2,51,81,78,0
0.385,42.6,58.2,10,72,79,0
0.892,86.6,89.5,339,13,14,1
0.525,74.6,73.8,108,51,49,1
0.28,55.4,40.1,32,87,74,0
0.207,45.1,46.8,56,84,82,0
0.777,83.3,92.6,312,17,22,1
0.837,88.1,97.6,311,11,17,1
0.247,52.9,46.3,67,82,75,0
0.273,59.0,65.1,17,71,73,0
0.639,76.9,75.0,166,42,40,1
0.409,63.8,72.5,138,54,58,0
0.593,63.1,71.9,107,49,53,1
0.568,79.8,73.1,142,47,42,1
0.337,38.9,46.3,45,80,82,0
0.381,35.2,58.8,9,72,84,0
0.369,42.4,56.2,45,72,78,0
0.247,50.6,51.6,58,79,77,0
0.46,72.4,71.0,193,50,48,1
0.382,55.0,60.6,49,68,70,0
0.364,58.3,43.7,53,80,68,0
0.202,58.9,62.5,67,73,74,0
0.537,70.7,84.9,110,43,51,1
0.979,91.9,97.8,210,11,14,1
0.244,53.2,54.7,82,76,75,0
0.365,38.5,66.0,59,65,80,0
0.28,49.9,45.2,71,81,76,0
0.663,63.9,78.4,107,42,50,1
0.373,37.8,67.9,65,63,80,0
0.254,57.2,67.2,2,72,76,0
0.248,36.8,44.7,89,82,84,0
0.271,59.8,54.1,65,76,70,0
0.206,40.6,67.3,69,70,85,0
0.854,86.2,89.9,250,19,21,1
0.449,66.4,76.9,116,51,56,0
0.337,51.5,43.1,63,81,73,0
0.367,40.9,58.0,27,72,80,0
0.533,62.9,77.6,182,44,52,1
0.216,53.5,47.5,75,82,76,0
0.514,66.3,81.0,124,45,53,1
0.321,43.7,46.3,28,81,80,0
0.66,69.1,75.4,129,43,46,1
0.43,74.9,79.8,108,50,52,0
0.505,74.8,71.1,150,51,47,1
0.316,46.5,67.1,41,67,78,0
0.27,59.2,47.6,78,80,70,0
0.282,49.3,67.6,46,68,77,0
0.662,61.8,70.3,178,44,47,1
0.209,40.9,61.9,3,77,88,0
0.204,47.4,59.3,65,75,81,0
0.324,53.8,67.5,24,67,74,0
0.92,96.4,95.5,246,13,12,1
0.535,71.1,77.0,139,46,49,1
0.594,60.8,73.9,144,46,52,1
0.266,42.6,60.7,7,75,84,0
0.529,71.6,73.6,115,50,50,0
0.227,58.3,47.8,77,81,72,0
0.308,52.5,64.6,26,70,75,0
0.485,76.2,80.8,154,45,47,1
0.776,99.3,99.0,297,13,13,1
0.2,41.4,66.3,24,73,87,0
0.238,56.0,43.3,81,84,73,0
0.399,39.2,51.6,44,74,79,0
0.335,45.1,69.2,82,63,76,0
0.265,39.5,61.6,34,73,85,0
0.262,52.3,62.5,19,73,78,0
0.26,55.7,44.0,49,84,74,0
0.403,76.6,77.1,136,52,51,0
0.649,69.7,74.8,165,42,44,1
0.387,37.6,42.1,19,82,82,0
0.328,58.6,51.2,29,78,71,0
0.359,49.4,66.6,21,67,76,0
0.987,99.7,89.1,364,8,1,1
0.629,60.7,82.8,158,38,50,1
0.327,55.6,41.0,83,82,70,0
0.281,36.3,42.6,34,85,86,0
0.716,86.9,85.0,330,23,21,1
0.244,50.6,68.5,62,68,77,0
0.571,65.2,81.8,91,44,54,1
0.206,50.6,45.1,86,84,77,0
0.291,56.9,58.8,1,76,75,0
0.233,40.7,57.3,25,78,86,0
0.355,40.6,44.6,11,82,82,0
0.279,41.2,68.9,54,67,82,0
0.505,78.3,76.1,139,48,46,1
0.401,78.6,84.9,119,48,51,1
0.289,58.9,49.9,52,79,71,0
0.349,58.8,56.3,85,70,67,0
0.512,71.5,72.6,111,52,51,0
0.332,58.2,58.6,7,74,72,0
0.209,58.9,43.6,42,87,75,0
0.258,36.9,47.8,10,84,88,0
0.587,79.8,70.2,195,46,38,1
0.906,80.1,94.5,290,11,20,1
0.255,53.2,46.9,85,81,74,0
0.214,50.6,61.8,63,73,78,0
0.56,61.0,83.4,97,43,56,1
0.865,96.6,93.3,212,18,16,1
0.509,77.7,71.7,159,50,45,1
0.558,68.5,75.8,185,44,47,1
0.98,94.6,99.0,236,9,11,1
0.301,36.9,43.7,15,85,86,0
0.571,66.7,75.2,136,46,50,1
0.978,80.7,90.5,236,14,20,1
0.374,50.4,57.1,68,70,72,0
0.27,53.0,53.6,32,78,76,0
0.414,67.4,82.8,95,50,58,0
0.399,40.6,50.5,86,72,76,0
0.301,53.8,67.0,76,66,72,0
0.778,83.5,85.9,313,21,22,1
0.21,48.9,63.3,70,72,79,0
0.211,57.0,56.2,72,77,74,0
0.254,47.2,57.8,61,75,79,0
0.399,37.7,56.0,26,72,81,0
0.354,51.6,51.1,19,77,75,0
0.306,39.8,51.0,71,77,81,0
0.269,57.2,45.6,14,85,75,0
0.523,74.4,77.4,113,48,49,1
0.394,41.4,66.7,73,62,76,0
0.771,89.8,91.6,305,18,19,1
0.404,76.2,71.4,137,55,51,0
0.236,36.7,62.1,67,72,86,0
0.227,53.7,65.4,42,72,77,0
0.42,73.5,84.4,133,46,52,1
0.253,51.3,69.5,65,67,76,0
0.387,44.6,56.2,88,69,74,0
0.596,66.8,79.3,145,42,49,1
0.43,74.2,75.8,161,50,50,0
0.527,66.2,77.9,133,46,52,1
0.497,61.8,80.2,179,44,54,1
0.314,55.8,57.0,82,72,70,0
0.378,47.7,55.0,43,72,75,0
0.271,49.9,65.1,25,71,79,0
0.223,48.1,59.4,61,75,80,0
0.541,73.6,77.2,104,48,49,1
0.75,95.0,95.8,332,15,15,1
0.377,37.2,41.6,10,83,83,0
0.272,45.5,67.7,20,70,82,0
0.339,57.6,47.5,80,77,68,0
0.629,61.0,74.8,148,44,51,1
0.315,58.7,51.4,30,78,71,0
0.204,36.9,61.2,74,74,87,0
0.218,59.0,47.0,49,84,74,0
0.356,40.3,68.8,29,65,81,0
0.356,50.3,66.6,11,67,76,0
0.691,69.3,75.4,194,38,41,1
0.295,52.2,69.3,28,67,76,0
0.511,73.6,74.1,127,50,49,1
0.355,52.5,67.2,46,65,72,0
0.242,58.5,52.5,87,77,71,0
0.463,76.6,78.2,180,46,46,1
0.296,58.5,66.9,11,70,73,0
0.39,41.8,41.4,50,81,77,0
0.465,70.4,81.8,169,44,50,1
0.48,73.8,84.7,164,42,48,1
0.249,40.9,65.5,77,69,82,0
0.237,49.2,53.6,28,80,80,0
0.234,48.8,61.2,31,75,80,0
0.449,74.4,75.6,94,53,53,0
0.63,64.7,76.1,157,42,48,1
0.931,85.7,88.0,218,19,20,1
0.49,65.6,77.1,187,45,51,1
0.279,44.1,62.4,57,71,80,0
0.338,40.6,65.4,81,65,79,0
0.829,91.3,97.6,240,15,19,1
0.292,36.8,66.3,16,70,86,0
0.417,74.8,84.8,144,46,51,1
0.589,74.5,79.7,144,42,44,1
0.387,40.8,43.6,51,79,78,0
0.549,77.2,84.5,165,39,43,1
0.221,39.3,55.7,23,79,87,0
0.203,59.5,56.1,78,77,73,0
0.26,56.1,44.0,59,84,73,0
0.549,73.7,76.0,144,46,46,1
0.241,42.6,44.3,41,85,83,0
0.319,53.6,53.6,25,77,74,0
0.939,82.1,98.2,261,9,19,1
0.363,59.3,57.6,40,72,68,0
0.233,45.3,58.3,59,75,81,0
0.223,54.0,66.6,31,72,78,0
0.382,58.5,53.5,38,74,68,0
0.289,55.8,40.8,87,83,71,0
0.251,56.4,59.9,61,73,73,0
0.249,55.1,47.3,27,84,76,0
0.383,40.1,51.4,72,73,78,0
0.343,48.9,59.3,51,71,75,0
0.388,54.6,59.9,32,69,71,0
0.451,76.0,74.3,196,48,46,1
0.323,55.5,47.1,49,80,72,0
0.479,77.0,84.0,113,45,49,1
0.339,54.3,64.2,87,65,70,0
0.382,37.6,64.4,26,67,82,0
0.268,44.4,61.3,9,75,83,0
0.528,61.9,73.1,193,46,52,1
0.526,73.3,81.4,91,46,50,1
0.22,40.8,45.5,21,86,86,0
0.447,79.9,78.1,185,47,44,1
0.615,70.3,70.4,165,46,45,1
0.387,50.5,55.8,89,69,70,0
0.67,76.4,82.7,116,38,41,1
0.331,53.6,69.4,19,66,74,0
0.323,57.7,63.3,44,69,71,0
0.282,41.9,46.1,49,82,82,0
0.26,36.8,66.0,82,68,84,0
0.514,65.0,78.6,167,45,52,1
0.769,84.8,94.2,334,15,20,1
0.27,59.2,48.6,49,81,72,0
0.228,44.0,67.5,10,72,85,0
0.295,36.6,47.4,86,79,83,0
0.976,98.4,90.7,288,11,6,1
0.258,41.7,53.8,74,76,82,0
0.231,58.6,46.4,28,85,75,0
0.608,62.6,84.6,96,41,53,1
0.282,35.6,54.7,29,77,87,0
0.242,38.8,68.4,79,67,84,0
0.305,46.2,48.0,67,79,77,0
0.213,57.6,58.8,2,79,77,0
0.401,74.0,78.6,95,53,55,0
0.358,54.0,50.5,80,74,70,0
0.263,53.4,63.0,75,70,74,0
0.23,50.2,44.2,5,88,81,0
0.24,42.0,40.6,3,90,86,0
0.989,99.7,89.9,302,11,4,1
0.69,61.9,77.0,137,40,48,1
0.699,66.4,70.8,99,46,47,1
0.22,43.5,63.5,15,75,85,0
0.418,71.8,79.9,104,51,55,0
0.387,43.9,59.8,27,70,78,0
0.69,72.9,82.9,160,35,40,1
0.94,80.7,95.2,353,6,15,1
0.31,45.4,56.7,1,76,81,0
0.499,62.4,83.2,195,41,52,1
0.657,72.4,78.0,193,38,40,1
0.7,74.7,76.4,117,41,41,1
0.55,60.7,70.2,96,53,57,0
0.222,44.2,67.7,85,68,81,0
0.232,36.4,40.3,48,88,87,0
0.216,37.9,46.3,21,86,88,0
0.286,50.1,59.0,77,72,75,0
0.65,77.2,81.1,179,37,38,1
0.229,43.4,40.6,20,89,85,0
0.202,58.2,53.6,40,81,75,0
0.673,68.1,72.6,138,44,45,1
0.586,78.2,82.0,147,40,42,1
0.319,53.5,55.2,71,73,72,0
0.374,46.0,41.8,44,81,76,0
0.645,71.7,79.9,157,39,43,1
0.298,57.2,53.0,87,75,70,0
0.393,38.8,60.0,2,71,82,0
0.319,36.5,63.4,27,70,85,0
0.399,39.9,65.4,68,63,77,0
0.39,45.8,69.1,21,64,77,0
0.582,77.6,80.2,115,44,44,1
0.209,42.6,51.6,13,83,86,0
0.364,58.2,66.9,39,65,69,0
0.313,46.6,63.1,23,71,79,0
0.936,85.1,96.9,354,5,12,1
0.308,41.9,57.7,27,74,82,0
0.325,43.3,56.6,43,74,80,0
0.211,35.8,66.3,15,73,90,0
0.348,52.9,61.4,3,72,75,0
0.346,42.6,65.6,22,68,80,0
0.274,54.5,61.4,56,72,74,0
0.346,38.8,40.8,13,85,83,0
0.274,54.0,45.2,59,82,74,0
0.663,74.0,76.5,172,40,40,1
0.394,58.1,60.8,80,66,66,0
0.228,50.1,48.5,68,82,78,0
0.889,92.4,89.2,213,20,17,1
0.357,40.1,53.0,67,73,79,0
0.354,36.7,63.8,77,66,81,0
0.388,36.7,62.2,63,66,80,0
0.892,93.7,90.4,318,13,11,1
0.252,54.2,41.1,80,85,74,0
0.374,35.3,62.3,49,67,82,0
0.886,97.2,89.8,266,17,12,1
0.456,74.2,78.3,169,47,48,1
0.42,65.1,78.3,185,48,55,1
0.236,48.3,43.2,52,86,79,0
0.353,35.4,55.5,6,75,85,0
0.599,78.3,71.3,178,45,40,1
0.385,53.2,43.6,5,82,73,0
0.591,74.5,84.0,151,39,44,1
0.203,36.8,62.2,40,75,89,0
0.321,38.0,44.8,2,84,85,0
0.636,66.4,75.4,196,40,45,1
0.37,53.8,62.7,53,67,71,0
0.374,52.6,59.5,74,68,70,0
0.872,89.1,99.1,322,8,14,1
0.692,67.1,78.4,171,37,43,1
0.396,38.5,45.7,63,77,79,0
0.272,54.7,63.5,67,70,73,0
0.603,79.7,76.6,112,45,42,1
0.216,45.3,68.8,36,70,83,0
0.528,71.6,71.3,94,53,51,0
0.213,45.5,40.6,59,88,82,0
0.265,55.5,52.0,89,77,72,0
0.384,46.8,46.0,74,77,73,0
0.265,57.4,56.4,34,77,74,0
0.203,44.3,58.4,54,77,83,0
0.79,98.4,96.9,293,14,13,1
0.61,69.8,83.8,148,38,46,1
0.214,59.7,59.9,67,75,73,0
0.878,93.7,87.2,245,20,15,1
0.254,42.5,46.8,12,85,85,0
0.491,77.3,79.3,121,48,48,1
0.249,50.3,57.4,1,78,81,0
0.37,44.7,40.3,80,81,75,0
0.415,66.9,83.4,95,49,59,1
0.383,45.0,69.6,86,60,74,0
0.529,78.8,70.2,111,53,46,1
0.328,35.5,51.2,38,77,84,0
0.256,54.3,54.9,55,77,75,0
0.342,58.7,62.2,65,68,68,0
0.367,57.1,57.8,73,69,68,0
0.622,64.0,79.8,187,38,47,1
0.636,73.0,73.6,92,47,46,1
0.308,42.0,42.5,71,82,79,0
0.42,66.1,77.0,90,54,59,0
0.257,47.2,47.9,33,83,80,0
0.358,38.9,58.4,0,73,83,0
0.773,94.8,96.3,286,16,17,1
0.635,66.5,85.0,141,37,47,1
0.213,57.4,47.7,82,82,73,0
0.434,78.8,83.2,198,43,45,1
0.775,97.4,92.4,323,16,13,1
0.388,38.1,56.1,48,71,80,0
0.221,49.3,64.8,0,75,82,0
0.35,53.4,53.7,7,76,74,0
0.539,76.7,83.2,103,44,47,1
0.431,75.2,81.0,189,45,48,1
0.224,45.4,67.0,56,70,82,0
0.38,37.1,47.7,49,77,81,0
0.631,67.1,82.8,195,36,44,1
0.269,46.7,50.5,5,82,82,0
0.408,71.5,78.3,121,52,55,0
0.232,53.9,68.0,53,69,76,0
0.302,56.6,42.8,37,84,73,0
0.341,41.9,61.9,11,71,82,0
0.619,74.7,82.6,185,37,41,1
0.268,49.1,43.1,33,85,79,0
0.399,48.7,69.7,11,64,75,0
0.542,76.2,80.3,93,46,48,1
0.712,99.5,89.9,307,21,15,1
0.859,87.9,94.8,223,17,21,1
0.813,91.5,97.2,251,16,19,1
0.409,73.3,84.5,161,45,51,1
0.318,49.5,44.7,79,80,74,0
0.346,40.0,67.3,77,64,79,0
0.705,81.3,90.3,270,23,29,1
0.209,43.7,68.7,29,71,85,0
0.262,49.3,64.8,12,72,80,0
0.691,72.7,83.3,152,35,41,1
0.765,98.5,88.4,223,25,18,1
0.44,67.2,77.9,95,52,57,0
0.635,61.1,83.0,137,38,51,1
0.658,76.2,80.6,137,39,41,1
0.368,57.8,41.4,75,80,67,0
0.339,50.4,56.7,24,74,76,0
0.679,62.4,74.2,134,43,49,1
0.404,66.4,78.2,136,51,57,0
0.301,36.0,65.1,49,69,85,0
0.683,68.6,80.6,190,35,42,1
0.482,77.9,72.1,174,50,45,1
0.373,36.3,67.9,13,66,84,0
0.252,39.2,62.5,12,74,87,0
0.307,57.5,56.9,31,75,72,0
0.397,51.2,61.1,79,66,70,0
0.366,43.3,50.0,20,78,79,0
0.734,89.3,88.9,348,19,18,1
0.311,54.7,62.7,51,70,73,0
0.206,42.8,69.9,60,69,84,0
0.241,42.2,48.7,13,84,85,0
0.514,62.1,77.3,114,48,57,1
0.368,56.8,55.8,15,74,71,0
0.386,37.1,57.4,20,72,82,0
0.372,48.1,52.8,79,72,73,0
0.358,42.6,62.8,68,67,77,0
0.296,51.3,59.4,13,74,77,0
0.583,67.8,84.3,172,38,47,1
0.681,72.2,74.7,190,39,39,1
0.344,50.5,64.1,21,69,76,0
0.232,35.4,62.3,88,71,86,0
0.321,42.5,49.3,27,79,81,0
0.36,54.1,56.2,42,73,72,0
0.293,40.7,69.4,44,66,82,0
0.359,47.4,41.2,89,80,73,0
0.398,56.3,45.0,59,78,68,0
0.276,51.0,42.1,58,84,76,0
0.376,40.1,45.8,35,79,80,0
0.216,51.1,50.1,36,83,79,0
0.43,75.8,80.8,121,49,51,1
0.423,78.0,79.2,93,52,52,0
0.23,50.3,61.3,39,74,79,0
0.262,59.5,42.7,54,85,71,0
0.317,57.7,44.9,78,80,69,0
0.233,38.2,43.0,51,86,86,0
0.297,57.9,68.4,53,66,71,0
0.27,37.1,55.4,47,76,85,0
0.373,55.7,58.7,82,68,68,0
0.213,45.5,67.6,78,69,81,0
0.455,71.2,84.5,152,44,51,1
0.369,45.0,60.2,38,70,77,0
0.248,35.3,57.1,61,75,87,0
0.24,48.5,60.8,59,73,79,0
0.649,66.9,72.9,119,46,48,1
0.37,38.2,64.4,27,67,82,0
0.379,46.1,64.1,82,64,74,0
0.279,44.1,55.9,30,77,82,0
0.233,40.0,42.1,3,89,87,0
0.215,42.5,69.9,35,70,85,0
0.203,43.7,52.6,79,79,82,0
0.21,43.9,52.1,54,81,83,0
0.312,49.7,62.2,9,72,78,0
0.306,52.7,67.1,88,65,72,0
0.35,38.4,51.3,56,75,81,0
0.271,41.5,47.9,48,81,83,0
0.349,50.0,56.2,61,72,73,0
0.39,42.5,42.8,65,79,76,0
0.29,57.5,57.3,38,75,72,0
0.997,87.2,98.4,327,3,10,1
0.207,49.5,61.1,86,73,78,0
0.237,54.0,51.1,53,80,76,0
0.297,55.3,49.6,10,81,75,0
0.356,57.5,67.7,32,66,70,0
0.236,57.7,52.9,21,81,75,0
0.67,76.2,71.9,155,43,39,1
0.209,37.4,42.2,71,86,86,0
0.618,74.2,79.4,99,44,46,1
0.228,51.7,62.9,63,72,77,0
0.663,74.9,73.7,106,45,43,1
0.255,38.6,63.4,7,74,87,0
0.218,35.7,65.9,47,71,88,0
0.774,89.6,85.7,284,23,20,1
0.615,64.9,75.7,121,45,50,1
0.772,97.1,87.6,355,18,11,1
0.637,71.8,73.8,139,44,44,1
0.309,58.6,43.5,5,85,73,0
0.257,57.9,47.6,42,82,73,0
0.226,41.3,50.0,42,82,85,0
0.388,47.5,69.2,76,61,73,0
0.263,40.7,42.8,63,84,83,0
0.333,44.3,68.3,23,67,80,0
0.256,54.3,48.8,27,82,76,0
0.801,89.9,97.8,253,16,20,1
0.333,44.8,50.1,78,76,76,0
0.305,52.3,41.7,70,83,73,0
0.589,73.2,75.6,192,42,42,1
0.244,50.4,56.9,32,77,79,0
0.238,47.3,65.9,32,71,81,0
0.492,67.1,74.4,179,48,51,1
0.422,65.0,78.7,93,52,60,0
0.437,77.2,81.1,188,45,46,1
0.332,37.4,60.4,59,70,82,0
0.364,49.7,40.2,73,81,72,0
0.911,87.4,93.8,321,10,14,1
0.61,78.2,84.1,147,38,41,1
0.985,94.0,98.6,344,3,5,1
0.316,47.8,62.9,31,70,78,0
0.241,57.7,56.0,64,76,73,0
0.271,37.6,52.6,38,79,85,0
0.278,37.7,48.7,86,78,82,0
0.28,56.8,40.8,75,84,71,0
0.363,58.8,61.7,24,70,70,0
0.674,77.9,81.1,138,38,39,1
0.555,63.1,79.7,184,41,50,1
0.327,56.3,43.0,72,81,70,0
0.732,90.6,88.2,329,21,18,1
0.225,50.9,46.3,85,82,77,0
0.282,51.5,50.5,43,79,76,0
0.318,45.2,42.4,43,83,79,0
